DATE,ORCL_RET,MKT_RET,RF
20160129,-0.001916,-0.0576,0.0001
20160229,0.012944,-0.0006,0.0002
20160331,0.112289,0.0698,0.0002
20160429,-0.021999,0.0093,0.0001
20160531,0.00853,0.0179,0.0001
20160630,0.018159,-0.0003,0.0002
20160729,0.006352,0.0397,0.0002
20160831,0.004386,0.0052,0.0002
20160930,-0.047065,0.0027,0.0002
20161031,-0.018075,-0.02,0.0002
20161130,0.04607,0.0487,0.0001
20161230,-0.043294,0.0185,0.0003
20170131,0.047074,0.0198,0.0004
20170228,0.06183,0.0361,0.0004
20170331,0.047429,0.002,0.0003
20170428,0.012105,0.0114,0.0005
20170531,0.009564,0.0112,0.0006
20170630,0.104649,0.0084,0.0006
20170731,-0.000399,0.0194,0.0007
20170831,0.008011,0.0025,0.0009
20170929,-0.03934,0.026,0.0009
20171031,0.05667,0.0234,0.0009
20171130,-0.036149,0.032,0.0008
20171229,-0.036282,0.0115,0.0009
20180131,0.095178,0.0569,0.0011
20180228,-0.017833,-0.0354,0.0011
20180329,-0.097099,-0.0223,0.0012
20180430,0.002404,0.0043,0.0014
20180531,0.022991,0.0279,0.0014
20180629,-0.056935,0.0062,0.0014
20180731,0.086473,0.0335,0.0016
20180831,0.018876,0.036,0.0016
20180928,0.061342,0.0021,0.0015
20181031,-0.049069,-0.0749,0.0019
20181130,-0.001638,0.0187,0.0018
20181231,-0.074036,-0.0936,0.0019
20190131,0.116722,0.0862,0.0021
20190228,0.037826,0.0358,0.0018
20190329,0.030309,0.0129,0.0019
20190430,0.03463,0.0417,0.0021
20190531,-0.085487,-0.0673,0.0021
20190628,0.125889,0.0711,0.0018
20190731,-0.007548,0.0138,0.0019
20190830,-0.075311,-0.0242,0.0016
20190930,0.05705,0.0161,0.0018
20191031,-0.005452,0.0221,0.0015
20191129,0.030281,0.0399,0.0012
20191231,-0.056288,0.0291,0.0014
20200131,-0.005474,0.0002,0.0013
20200228,-0.057007,-0.0801,0.0012
20200331,-0.022847,-0.1326,0.0012
20200430,0.100972,0.1365,0
20200529,0.015103,0.0559,0.0001
20200630,0.027897,0.0247,0.0001
20200731,0.007599,0.0578,0.0001
20200831,0.031921,0.0764,0.0001
20200930,0.043341,-0.0362,0.0001
20201030,-0.056114,-0.0209,0.0001
20201130,0.028694,0.1248,0.0001
20201231,0.120755,0.0464,0.0001
